ID,Device,Group,Sensor
155207,"anker-perg_naarnerstr.vipnet.uta.at (atpera-nro01a.helvetia.at) [Cisco IOS Cisco Device]","GS Perg 10.34.12.0","PING 1073"
153251,"anker-stockerau.vipnet.uta.at (atstoa-nro01a.helvetia.at) [Cisco IOS Cisco Device]","GS Stockerau 10.32.20.0","PING 986"
119064,"chbela-nups01.helvetia.ch","USV Anlagen Schweiz","PING 610 11"
118647,"chkloa-nups01.helvetia.ch (10.1.8.230)","USV Anlagen Schweiz","PING 610 2"
202240,"ip-heva-ch-bul-r-005.helvetia.ch",Bulle,"System Health Memory"
192027,"itmil1-nro01a.helvetia.it",IT,Traceroute
207910,"chwint-nsw01a.helvetia.ch","IBM Winterthur","System Health CPU"
153298,"atviea-nsw01b.helvetia.at [Cisco IOS Cisco Device]","GS Wien Salztorgasse 10.32.28.0","PING 1013"
156138,"atgmua-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Gmunden 10.35.8.0","PING 646"
152750,"atstoa-sbfp001-amt.helvetia.at","GS Stockerau 10.32.20.0","PING 84"
119510,"chnyna-nups01.helvetia.ch","USV Anlagen Schweiz","PING 610 17"
118656,"chrapa-nups01.helvetia.ch","USV Anlagen Schweiz","PING 610 5"
173563,"atsala-nsw01b.helvetia.at [Cisco Device]","GS Salzburg 10.35.12.0","PING 337"
153018,"atneua-nsw01a.helvetia.at [Cisco IOS Cisco Device]","GS Neunkirchen 10.32.8.0","PING 647"
152527,"atneua-sbfp001-amt.helvetia.at","GS Neunkirchen 10.32.8.0","PING 64"
173876,"Gerät der Probe","CH Probe",Probezustand
153017,"interflex-terminal-st-poelten.helvetia.at","GS St. Poelten 10.32.16.0","PING 608"
173966,"atmuna-nsw01a.helvetia.at [Cisco Device]","GS Munderfing 10.35.24.0","GigabitEthernet1/0/23 - Server"
